,old_tweet,new_tweet
11520,MASY SIDOMULYO KEC AEK KUO KAB LABURA DEKLARASI ANTI HOAX &amp; PILKADA 2...,masyarakatsidomulyokecamatanaekkuokabupatenlaburadeklarasiantihoaksamppilihan kepala daerah2
11521,Luar biasa jauh berbeda dg terjdi bom perancis. Dari dua pertiwa tsb bs kita lihat reaksi Rezim Jokowi seolah memperlihatkan Rezim anti islam,luarbiasajauhberbedadenganterjadibomprancisdariduapeiwatersebutbisakitalihatreaksirezimjokowiseolahmemperlihatkanrezimantiislam
11522,USER Dulu dipaksa menanam sama van den bosch di ambil hasilnya di jual sama belanda via VOC. lalu hasilnya pun di korup VOC sayangnya sampai merdeka pin begitu. Hasil panen di salurkan lewat badan pemerintah &amp; jg di korup sama pejabat bangke..\n\n,duludipaksamenanamsamavandenboschdiambilhasilnyadijualsamabelandaviavoclaluhasilnyapundikorupvocsayangnyasampaimerdekapinbegituhasilpanendisalurkanlewatbadanpemerintahampjugadikorupsamapejabatbangkaidandan
11523,Makin ancur ini negara karena jokowi. Lol. URL,makinhancurininegarakarenajokowiwkwkuniform resource locator
11524,anjing dengan daun telinga tegak memiliki pendengaran yang lebih baik daripada anjing berdaun telinga jatuh,anjingdengandauntelingategakmemilikipendengaranyanglebihbaikdaripadaanjingberdauntelingajatuh
11525,"USER Namanya juga standar janda, teriak2 benci kapir aseng tapi oshinya kapir aseng semua \xf0\x9f\x98\x82'",namanyajugastandarjandateriak teriakbencikafirasingtapioshinyakafirasingsemuaxf0x9fx98x82
11526,USER eue lewat mulu',ngewelewatmulu
11527,USER Hebatlah di rejim ini org sdh pada kaya smua',hebatlahdirejiminiorangsudahpadakayaksemua
11528,Kemacetan makin menggila. ; Karena pertumbuhan mobilmotor 8X dari pertumbuhan jalan. ; Ganti presidenpun tak akan bisa kurangi kemacetan ini.; Tapi dg ganti presiden minimal bisa mengurangi kemacetan yg lain. ; Jadi? Tetap #2019GantiPresiden,kemacetanmakinmenggilakarenapeumbuhanmobil motor8xdaripeumbuhanjalangantipresidenpuntakakanbisakurangikemacetaninitapidengangantipresidenminimalbisamengurangikemacetanyanglainjaditetap2019 ganti presiden
11529,"USER Iya mas, orang kristen klo nyanyi jingle bell juga keren'",iyamasorangkristenkalaunyanyijinglebeljugakeren
11530,"USER Tu pisang bule Mn ko gak neko "" pkai profil kontol Mr Mr bule ya ? Q mau kontol km cyg'",itupisangbulemanakoktidakmacampakaiprofilkontolmrmrbuleyaakumaukontolkmsayang
11531,"USER USER USER USER USER Kalau kata guru ngaji saya, disuruh perbanyak baca alhamdulillah. Biar hidup jadi ayem. Kalo temen saya orang katolik, dia banyak memuji2 Tuhan \xf0\x9f\x98\x8a'",kalaukatagurumengajisayadisuruhperbanyakbacaalhamdulillahbiarhidupjadiayemkalautemansayaorangkatolikdiabanyakmemuji mujituhanxf0x9fx98x8a
11532,iori berapa kali poto merem meluluk.. itu gak sengaja merem gegara pas ngedip atau emang sipit maximal ya?! wkwkkw.. monmaap dek iori XD',ioriberapakalifotomeremmeluluitutidaksengajameremgara garapasmengedipataumemangsipitmaksimalyawkwkmohon maafdekiorixd
11533,Walah....jadi ini toh maksud anies sandi dgn DP 0%. Smua pendukungnya bisa nginep gratis di penjara. okeoce saracen,walahjadiinitohmaksudaniessandidenganuang muka0semuapendukungnyabisamenginapgratisdipenjaraoke ocesaracen
11534,"USER USER Jgn prnh tkut bpk presiden, krn anda tdk brjln sendirian, diblkg mu ada mayoritas masyarakat Indonesia yg trs mendukungmu,bgsa ini bgsa bermartabat,dan dgn kjadian ini,kita jd tau,bhw yg slma ini triak anti Aseng trnyta mlah jd ag",janganpernahtakutbapakpresidenkarenaandatidakberjalansendiriandi belakangmuadamayoritasmasyarakatindonesiayangterusmendukungmubangsainibangsabermaabatdandengankejadianinikitajaditaubahwayangselamainiteriakantiasingternyatamalahjadiag
11535,USER pgn ngomong bangke',inginberbicarabangkai
11536,jangan kasih kendor.....; anda layak dpt bintang....; USER ; USER ; USER,jangankasihkendorandalayakdapatbintang
11537,"USER Hahahhaha ye wehh silap2 bom pun aku tak dengau. Ecehh kau memang, kita sama2 ah ni brother susah bangun.'",hahaiyawahsilap silapbompunakutakdengauececehkamumemangkitasama samaahnihbrothersusahbangun
11538,"iya,kelasnya penista agama,bs nya cm ngebacot doang yg arogan sk blg taik"" nenek lu,oh ya sumber waras n nama d kasus E ktp apkabar?skakmat",iyakelasnyapenistaagamabisanyacumabacotdoangyangarogansurat keputusanbilangtainenekkamuohyasumberwarasdannamadikasusekartu tanda pendudukapa kabarsekakmat
11539,USER Eh nurull kuliah dimana? Jurusan apa? Ha bahasa mandarin? Berarti kerja sama dong sama komunis ? Wah masih saudaraan dong sama g30spki',ehnurulkuliahdimanajurusanapaapabahasamandarinberaikerjasamadongsamakomuniswahmasihbersaudaradongsamagerakan 30 september partai komunis indonesia
11540,biar miskin tp ga jd antek asing dan aseng,biarmiskintetapitidakjadiantekasingdanasing
11541,"USER USER BABI KAU INI YHA\nMUNGKIN LAHIR DARI BANI BABI KAU INI ,\nANJING LAH KAU INI ,\n\nKau Ngomong Mentei selangkangan\nTapi MAJIKAN KAU BINI NYE SELINGKUH 7 Tahun \nItu Yg cocok Mentri selangkangan\n7 tahun Coy ,\n\nHRS kau Tuduh begitu",babikamuiniyamungkinlahirdaribanibabikamuinianjinglahkamuinidankauberbicaramenteriselangkangantapimajikankamubininyaselingkuh7tahunituyangcocokmenteriselangkangann7tahuncoydanharuskamutuduhbegitu
11542,RT USER: Tapi kadang ade member yang babi main sedap tekak setiap hari nak dibelanje\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f URL,tapikadangadekmemberyangbabimainsedaptekaksetiapharinakdibelanjaxf0x9fxa4xa6xf0x9fx8fxbbxe2x80x8dxe2x99x82xefxb8x8funiform resource locator
11543,"USER USER #TokohPerubahan adalah mereka yang telah memberikan kontribusi nyata berkelanjutan untuk memajukan suatu masyarakat dalam berbagai bidang, seperti ekonomi, budaya, kesehatan, dan sebagainya.",tokoh perubahanadalahmerekayangtelahmemberikankontribusinyataberkelanjutanuntukmemajukansuatumasyarakatdalamberbagaibidangsepeiekonomibudayakesehatandansebagainya
11544,"Kayanya, kementrian penerangan butuh dibangkitin lagi. Yutuber/selebgram bajingan udah mulai overexposed.'",sepertinyakementerianpeneranganbutuhdibangkitkanlagiyoutuberselebriti instagrambajingansudahmulaioverexposed
11545,"USER namanya juga rezim suka2, ndan. mereka yg buat peraturan, mereka juga yg melanggar'",namanyajugarezimsuka sukadanmerekayangbuatperaturanmerekajugayangmelanggar
11546,USER pas di cari ga nemu tpi bunyi mulu anjir',pasdicaritidakmenemukantetapibunyimuluanjir
11547,USER yg perlu dipertanyakan jga adlh sikap mardani AS yg jg kader partai islam,yangperludipeanyakanjugaadalahsikapmardaniasyangjugakaderpakaiislam
11548,Fadli Zon: Potensi Korupsi Pilkada Lewat DPRD Lebih Kecil,fadlizonpotensikorupsipilihan kepala daerahlewatdewan perwakilan rakyat daerahlebihkecil
11549,Presiden Amerika Barack Hussein Obama mendesak Putin untuk menarik mundur tentara Rusia di Ukraina.,presidenamerikabarackhusseinobamamendesakputinuntukmenarikmundurtentararusiadiukraina
11550,"Kita bangga dg prestasi Musa La Ode Abu Hanafi, hafidz 7 tahun di Musabaqah Hifzil Quran Internasional di Mesir",kitabanggadenganprestasimusalahodeabuhanafihafiz7tahundimusabaqahhifzilalquraninternasionaldimesir
11551,USER Dari pantat sapi',daripantatsapi
11552,blh jg tuh. bntu sundul ð???,bolehjugaitubantusundul
11553,USER USER USER USER USER Takut? Jaman rezim suharto yang represif aja saya berani koq.',takutjamanrezimsuhaoyangrepresifsajasayaberanikok
11554,USER Bacot lu diyem',bacotkamudiam
11555,"jadi inget pernah nonton film piramid2 gitu rame2, serem. yang lain teriak, gue sama temen gue ketawa2. sudah sinting'",jadiingatpernahmenontonfilmpiramida piramidabegituramai ramaiseramyanglainteriakguesamatemangueketawa ketawasudahsinting
11556,Mau taawudz dulu biar dijauhkan dari godaan syaiton yang terkutuk : (',mautaawuzdulubiardijauhkandarigodaansetanyangterkutuk
11557,RT USER: Memek gatel pengen di kentot pake kontol keker',memekgatalingindingentotpakaikontolkeker
11558,Hai saya hampir mati dalam jamban kerana tergelincir hm',haisayahampirmatidalamjambanke ranahtergelincirhem
11559,Buah simalakama itu bernama Asma Dewi penyebar sara waktu kampanye anies sandi,buahsimalakamaitubernamaasmadewipenyebarsarawaktukampanyeaniessandi
11560,Nalar yang sehat tidak mungkin berfikir â??burukâ?? hingga sejauh itu. Puisi itu ditulis oleh seorang ulama yang mencintai Islam. Seorang ulama yang merindukan Islam tumbuh sebagai ajaran kasih sayang dan rahmat bagi seluruh masyarakat di negeri ini. #PercayaG,nalaryangsehattidakmungkinberpikirburukhinggasejauhitupuisiituditulisolehseorangulamayangmencintaiislamseorangulamayangmerindukanislamtumbuhsebagaiajarankasihsayangdanrahmatbagiseluruhmasyarakatdinegeriinipercaya
11561,USER Bolot aja biar legenda',bolotsajabiarlegenda
11562,"â??Yang menyebabkan agama cacat adalah hawa nafsu, maka kendalikanlah hawa nafsumu.â?? (HR. Asyahaab)",yangmenyebabkanagamacacatadalahhawanafsumakakendalikanlahhawanafsumuhariasyahaab
11563,Jokowi Ajak Ulama Dinginkan Suasana Jelang Pilkada.; #2019JokowiLanjutkan; JKFC23456789 JOINKalsel andreOPA AktivitasJokowi KORNASJOIN JOINKalsel cepu_supriyanto jokowi join_ri join_ri,jokowiajakulamadinginkansuasanajelangpilihan kepala daerah2019 jokowi lanjutkanjkfc23456789join kalimatan selatanandre opaaktivitas jokowikornas joinjoin kalimatan selatancepusupriyantojokowijoinrijoinri
11564,USER Bajingan ya...blok aje',bajinganyabloksaja
11565,"USER Apasih, gajelas lu bangke'",apa sihtidak jelaskamubangkai
11566,USER USER LOL suster adalah sister (sekolah Katolik)',wkwksusteradalahsistersekolahkatolik
11567,Potret Rezim Jokowi anti pd umat islam bkn sj di indonesia yg dipimpin tpi bahkan dinegara lain sptr Myanmar skrg,potretrezimjokowiantipadaumatislambukansajadiindonesiayangdipimpintetapibahkandi negaralainseputarmyanmarsekarang
11568,USER USER Makanya. Kalo pake kata-kata bermuka dua itu kan kesannya ngga enak. Karena biasanya sebutan itu untuk nyebut orang munafik.',makanyakalaupakaikatakatabermukaduaitukankesannyatidakenakkarenabiasanyasebutanituuntukmenyebutorangmunafik
11569,"USER dfd apaan yaallah, udik gua'",data flow diagramapaanya allahudikgue
11570,RT USER: Sayang banget kalo gak di share. Cewek jilbab bro. Cantik yah padahal haha. Ngentot di toilet URL,sayangbangetkalautidakdibagikancewekjilbabbrocantikyapadahalhahangentotditoiletuniform resource locator
11571,USER USER USER USER USER USER USER USER USER Ini kunyuk bukan ustad..modal bewokan.sama ngomong antam- antum.doang..',inikunyukbukanustadmodalberewokansamaberbicaraantamkaliandoang
11572,Saya yakin Alumni 212 tidak ada yang menghina Ulama yang dihormati dan disegani oleh HRS.; ; Yang menghina diduga pihak yg mencoba memecah belah umat Islam melalui kasus dugaan Penistaan Agama.,sayayakinalumni212tidakadayangmenghinaulamayangdihormatidandiseganiolehharusyangmenghinadidugapihakyangmencobamemecahbelahumatislammelaluikasusdugaanpenistaanagama
11573,USER USER saya kira bau busuk itu sudah puluhan tahun tercium.\naneh saja sampeyan bau mengendusnya baru2 ini.\nApa mungkin waktu geng rezim anda berkuasa baunya harum.',sayakirabaubusukitusudahpuluhantahunterciumanehsajaandabaumengendusnyabaru baruinikenapamungkinwaktugengrezimandaberkuasabaunyaharum
11574,"Dari kemunculan hukum-hukum yang tidak mencerminkan kepentingan umum, seperti UU MD3 yang tentunya mencederai supremasi hukum yang diharapkan. Ditambah lagi kasus orang hilang yang belum dituntaskan hingga tahun ini.'",darikemunculanhukumhukumyangtidakmencerminkankepentinganumumsepeiundang undangmd3yangtentunyamencederaisupremasihukumyangdiharapkanditambahlagikasusoranghilangyangbelumdituntaskanhinggatahunini
11575,USER Pasti harga akan naik...konsumsi turun tidak ideal lgi...ekonomi gak tumbuh...huuft,pastihargaakannaikkonsumsituruntidakideallagiekonomitidaktumbuhduh
11576,USER Duh gw baru sadar 501 pas praketik 5 jari buat huruf O dan kntl\xf0\x9f\x98\x82',aduhguebarusadar501paspraktik5jaribuathurufodankontolxf0x9fx98x82
11577,USER Masa kaga tau princess. Udik bener ?',masatidaktauprincessudikbenar
11578,"Dulu waktu kelulusan aku ga pernah coret-coret baju, cupu ya? \xf0\x9f\x98\x82'",duluwaktukelulusanakutidakpernahcoretcoretbajucupuyaxf0x9fx98x82
11579,USER USER USER Ada undang2 md3 pantas mereka buru2 sahkan uud md 3 sebelum penggantian dpt',adaundang undangmd3pantasmerekaburu burusahkanundang undang dasarmd3sebelumpenggantiandapat
11580,".barryaje Faktanya Gubernur aheryawan yg menyelesaikan, si mukidi nongol saat peresmian #2019GantiPresiden aja dah",barryajefaktanyagubernurahmad heryawanyangmenyelesaikansihmukidinongolsaatperesmian2019 ganti presidensajasudah
11581,Tolong USER USER USER USER USER USER USER Bubarkan Acara PKI tsb URL,tolongbubarkanacarapartai komunis indonesiatersebutuniform resource locator
11582,"USER Mode pengalihan isue biar kaya rejim era milenial \xf0\x9f\x99\x88, masih 27 juli tapi tiap hari udah liat trailernya ~'",modepengalihanisubiarkayakrejimeramilenialxf0x9fx99x88masih27julitapitiapharisudahlihattrailernya
11583,"USER lagian di pulau komodo mah lo gabisa main di pantai yang ada ketemu komodo/buaya lagi berenang,,,,,,,'",lagiandipulaukomodoadalahkamutidak bisamaindipantaiyangadaketemukomodobuayalagiberenang
11584,USER Kalau di Inggris dokter2nya demo justru karena ingin menyelamatkan NHS. Mereka minta kedatangan dokter2 baru asing - India - tidak dipersulit',kalaudiinggrisdokter dokternyademojustrukarenainginmenyelamatkannhsmerekamemintakedatangandokter dokterbaruasingindiatidakdipersulit
11585,USER USER tul..elok le tu yahudi ckp pekan..hahahaha',betulelokleituyahudicukuppekanhaha
11586,USER Kyulkyung visualnya edan.',kyulkyungvisualisasinyaedan
11587,"USER USER tai kucing lo ahh, pengecut!!'",taikucingkamuahpengecut
11588,"Dalam PP baru itu, pemerintah menegaskan ketentuan bahwa pemegang Izin Usaha Pertambangan (IUP) dan Izin Usaha Pertambangan Khusus (IUPK) yang sahamnya dimiliki oleh asing untuk melakukan divestasi saham sampai 51 persen secara b",dalamppbaruitupemerintahmenegaskanketentuanbahwapemegangizinusahapeambanganizin usaha pertambangandanizinusahapeambangankhususizin usaha pertambangan khususyangsahamnyadimilikiolehasinguntukmelakukandivestasisahamsampai51persensecarab
11589,USER Biar Rezim ini lakukan Pencitraan terus setelah #2019GantiPresiden nanti langsung di Proses saja masalah hukumnya karena Ada indikasi kerugian negara',biarreziminilakukanpencitraanterussetelah2019 ganti presidennantilangsungdiprosessajamasalahhukumnyakarenaadaindikasikerugiannegara
11590,"USER USER Parah itu adlh kamu ga akan menemukan saksi bukti pernyataan ilahmu bhw dia adlh ilah yg wajib disembah, yg ada hanya narasi oleh orang yg sumbernya berasal dari riwayat spiritual Yahudi, alias copy paste ilah'",parahituadalahkamutidakakanmenemukansaksibuktipernyataanilahmubahwadiaadalahlahyangwajibdisembahyangadahanyanarasiolehorangyangsumbernyaberasaldaririwayatspiritualyahudialiascopypastelah
11591,"USER USER Emprop USER mah gelarnya dr haters komplit, dicap kafir, liberal, komunis, munafik, dll.. Kl kuliah mesti berapa SKS tuh gelarnya banyak amat \xf0\x9f\x98\x80\n\nYg lucu dicap liberal dan komunis barengan, otak mana otak.. \xf0\x9f\x",pemerintah provinsiadalahgelarnyadarihaterkomplitdicapkafirliberalkomunismunafikdan lain lainkalaukuliahmestiberapasksitugelarnyabanyakamatxf0x9fx98x80danyanglucudicapliberaldankomunisbarenganotakmanaotakxf0x9fx
11592,8 bulan ga ketemu matematika di HI gue jadi goblok banget gitu',8bulantidakketemumatematikadihiguejadigoblokbangetbegitu
11593,"RT USER: Apik Elekku kui urusanku,Nek raseneng karo aku yowis mingkem rasah nyangkem,Sorry nek aku macak picek macak budek karo wong\xe2\x80\xa6'",apikjelekkuituurusankunekenggak sukasamaakuya sudahdiamrasahnyangkemmaafnekakumasakpicekmasakbudeksamaorangxe2x80xa6
11594,USER USER Mereka yg membela china keparat itu tak ubahnya anjing buduk...!!!! Saya pengin marah....enyahkan para china keparat di bumi NKRI. !!! Sumpah bagi para china yg hidup di indonesia utk setia tanah air!!!...bila mereka tak bersum,merekayangmembelacinakeparatitutakubahnyaanjingbuduksayainginmarahenyahkanparacinakeparatdibuminegara kesatuan republik indonesiasumpahbagiparacinayanghidupdiindonesiauntuksetiatanahairbilamerekatakbersum
11595,USER // ...Harus tau ya emang? Saya juga asal gas. HAHAHA. Aslinya anaknya buta arah sama gak tau tempat selain domisili mun.',harustauyamemangsayajugaasalgashahaaslinyaanaknyabutaarahsamatidaktautempatselaindomisilimun
11596,"9. HTI sudah jelas bakal didukung sama lawan politik jokowi, tujuan utamanya kudeta, turunkan jokowi AksiNaga299",9hatisudahjelasbakaldidukungsamalawanpolitikjokowitujuanutamanyakudetaturunkanjokowiaksi naga 299
11597,"USER USER anda yg Idiot nuduh org bloon. Kenyataannya sih demi membela seseorang rela pakai data bohong, editan &amp; rekayasa.'",andayangidiotmenuduhorangbelumkenyataanyasihdemimembelaseseorangrelapakaidatabohongeditanamprekayasa
11598,"USER USER USER Jadi presiden kan berarti harus punya kemampuan, kecerdasan, kepandaian dan wawasan yang lebih dari orang biasa.",jadipresidenkanberaiharuspunyakemampuankecerdasankepandaiandanwawasanyanglebihdariorangbiasa
11599,Maunya #2019GantiPresiden dan kami akan mendukung pilihan rakyat dan ulama ; ; Semoga pilihannya utk #2019PrabowoAnisMatta ; Inshaa Allah..,maunya2019 ganti presidendankamiakanmendukungpilihanrakyatdanulamasemogapilihannyauntuk2019 prabowo anis mattainsyaallah
11600,Ngeue???\nEklwkwowkwkwkk \nEue eue',ngewewkwkngewengewe
11601,"USER USER USER USER Waaah ibu kau si P3R3Q gerwani di g3nkbenkz BABI sipit..??? Bijimane bentuk adikmu nanti ya choong...?? Kau aja udah hancur hasil di3nth0t kuda,,, bijimane sama BABI cipiit??? Ngooaaahahaaa fantas",waaahibukamusihperekgerwanidigangbangbabisipitbagaimanabentukadikmunantiyachoongkamusajasudahhancurhasildientotkudabagaimanasamababisipitngooaaahahaaapantas
11602,USER dasar setan',dasarsetan
11603,USER Evolusi dari cupu - cool (cool nya kyk es di tengah gurun) \xf0\x9f\x98\x9a\xf0\x9f\x98\x9a',evolusidaricupukerenkerennyakayakesditengahgurunxf0x9fx98x9axf0x9fx98x9a
11604,"hideyoshi, nobunaga, ieyashu. \nyang paling banyak diremehkan adalah hideyoshi. \ntapi dia yang bisa membuat burung ""bisu""pun bersuka bernyanyi untuknya.\n\nsemoga engkau paham, sayang.'",hideyoshinobunagaieyashuyangpalingbanyakdiremehkanadalahhideyoshitapidiayangbisamembuatburungbisupunbersukabernyanyiuntuknyadansemogaengkaupahamsayang
11605,"4. Ini ide unik, pertama sepanjang sejarah Indonesia untuk kumpulkan impian masyarakat dari setiap propinsi di Indonesia",4iniideunikpesamasepanjangsejarahindonesiauntukkumpulkanimpianmasyarakatdarisetiappropinsidiindonesia
11606,Atas dasar hukum apa?,atasdasarhukumapa
11607,"Selamat hari kartini untuk seluruh wanita di indonesia, dan #2019GantiPresiden",selamatharikakakiniuntukseluruhwanitadiindonesiadan2019 ganti presiden
11608,Komunis dan liberalis membentuk garis yang melalui ujung barat dan timur bumi bermula dari arah utara menuju selatan bertemu di tanah ini tapi kedua-duanya hancur tanpa ada yang keluar jadi pemenang. Sementara banyak negeri2 besar yang jatuh kedalam pro,komunisdanliberalismembentukgarisyangmelaluiujungbaratdantimurbumibermuladariarahutaramenujuselatanbeemuditanahinitapikeduaduanyahancurtanpaadayangkeluarjadipemenangsementarabanyakmengerikanbesaryangjatuhke dalampro
11609,New post (Festival Pesona Tambora Angkat Eksotisme Alam dan Budaya Dompu dan Bima) has been published on Paradiso -,newpostfestivalpesonatamboraangkateksotismealamdanbudayadompudanbimahasbeenpublishedonparadiso
11610,"USER Hehe.. Malah dari hasil yg pernah saya baca dan dari diskusi sama beberapa teman, bkn Syiah saja, juga Liberal dan Komunis..\n\nIslam dan Indonesia sedang dlm himpitan Syiah, Liberal dan Komunis..\n\nGitu kalau pendapat banyak org, kalau gak sal",hehemalahdarihasilyangpernahsayabacadandaridiskusisamabeberapatemanbukansyiahsajajugaliberaldankomunisdanislamdanindonesiasedangdalamhimpitansyiahliberaldankomunisdangitukalaupendapatbanyakorangkalautidaksal
11611,"USER Betul bang,... Nanti kumpulan manusia songong itu mengklaim merasa paling pintar dan hebat buat Jakarta... Gerombolan Kampretttt nasi bungkus dan kencing onta....\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'",betulbangnantikumpulanmanusiasongongitumengklaimmerasapalingpintardanhebatbuatjakaagerombolankamprettttnasibungkusdankencingontaxf0x9fx91x8exf0x9fx91x8exf0x9fx91x8e
11612,RT USER: Hoax adalah ari ari politik pak jokowi Kebohongan sama dengan hoax hoax adalah kita wakwaww,hoaksadalahariaripolitikpakjokowikebohongansamadenganhoakshoaksadalahkitawkwk
11613,USER USER Dulu zaman sby gampang korupsi bisa beli mobil dan tanah,duluzamansusilo bambang yudhoyonogampangkorupsibisabelimobildantanah
11614,USER Nabi aja dikejar-kejar dan dinistakan oleh orang kafir dari dulu ampe sekarang. Terus kita disuruh menyanjung orang yang jelas-2 memusuhi agama ini? Akal sehat mana akal sehat...?,nabisajadikejarkejardandinistakanolehorangkafirdaridulusampaisekarangteruskitadisuruhmenyanjungorangyangjelas2memusuhiagamainiakalsehatmanaakalsehat
11615,Ibaratnya sekarang gaya hidup dan budaya asli mereka telah hilang dan benar-benar kehilangan jati dirinya.,ibaratnyasekaranggayahidupdanbudayaaslimerekatelahhilangdanbenarbenarkehilanganjatidirinya
11616,para teroris ingin masuk surga secara instan dg melakukan bom bunuh diri yg mreka sebut jihad..mereka pikir hidup semudah itu :))',paraterorisinginmasuksurgasecarainstandenganmelakukanbombunuhdiriyangmerekasebutjihadmerekapikirhidupsemudahitu
11617,"RT USER USER USER USER USER Tidak ada yg menghina siapa-apa selain perbuatan seseorang itu sendiri, jadi coba lihat sikap bapak yang diktator",tidakadayangmenghinasiapaapaselainperbuatanseseorangitusendirijadicobalihatsikapbapakyangdiktator
11618,USER Ftv gitu ya judulnya Monyet Cantik dan Majikannya. Bodor wkwkwkwk.',film televisibegituyajudulnyamonyetcantikdanmajikannyabodorwkwk
11619,lulusan S1 mrka panggil prof -&gt; USER ; Ketum partai mrka panggil presiden -&gt; USER ; Org gk bisa ngaji mrka panggil ustad -&gt; USER ; Sang pemborong kasus tersangka mereka panggil ulama -&gt; USER ; ; Ini namanya Du,lulusans1merekapanggilprofbegituketua umumpakaimerekapanggilpresidenbegituorangtidakbisamengajimerekapanggilustadbegitusangpemborongkasustersangkamerekapanggilulamabegituininamanyadu
11620,Harga Minyak Naik Dipicu Penguatan Wall Street - Warta Ekonomi,hargaminyaknaikdipicupenguatanwallstreetwaaekonomi
11621,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Utk Ka,untukkakak
11622,"USER USER Kalo mw buat poros alternatif bs duet TGB-AHY atau sebaliknya AHY-TGB..; AHY dri militer &amp; urusan diplomasi luar negeri serta perwakilan Indonesia Barat..; TGB dari Ulama yg berilmu, bisa kembangkan ekonomi dan sosial di da",kalaumwbuatporosalternatifbisaduettuan guru bajangagus harimurti yudhoyonoatausebaliknyaagus harimurti yudhoyonotuan guru bajangagus harimurti yudhoyonodarimiliterampurusandiplomasiluarnegeriseaperwakilanindonesiabarattuan guru bajangdariulamayangberilmubisakembangkanekonomidansosialdidan
11623,"ð???ð???Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018",wargabaduisetelahselesaimemperingatitradisisebadipendopopemerintah kabupatenlebakakandilanjutkankembalibeemudengangubernurbantenwahidinhalimhariinisabtu214seba baduy 2018
11624,USER Smp bom\xe2\x9d\xa4',sampaibomxe2x9dxa4
11625,"Gubernur Anies Baswedan bertemu dengan Menteri Dalam Negeri Kerajaan Maroko, Noureddine Boutayeb di Rabat (18 April 2018). Pertemuan bilateral tersebut membahas banyak hal dan saling berbagi perkembangan ekonomi politik selama 20 tahun terakhir.",gubernuraniesbaswedanbeemudenganmenteridalamnegerikerajaanmarokonoureddineboutayebdirabat18april2018peemuanbilateraltersebutmembahasbanyakhaldansalingberbagiperkembanganekonomipolitikselama20tahunterakhir
11626,"USER Jawab nya gampang itu Presiden mu dihina china bangsat kamu kok diam, apa si munafik lagi bisu ?! \n\n#2019GantiPresiden'",jawabnyagampangitupresidenmudihinacinabangsatkamukokdiamapasihmunafiklagibisudandan2019 ganti presiden
11627,USER Mampus da blm sempet ntn thx you',mampusdanbelumsempatmenontonterima kasihkamu
11628,USER Btw ini radha bajingan ga sih wqwq dat muah2nya wqwqwq URL,by the wayiniradhabajingantidaksihwkwkdatsemua semuanyawkwkuniform resource locator
11629,"dulu manis, sopan, terus gemes gitu, adik material, makamya dulu lu masuk jajaran my top sissy, tapi sekarang, najis jijay bajay, gaada manis2nya, gada gemes2nya, asu asuan terus kerjaannya, udah gue lepeh juga lah dr jajaran adik2 gue mon maap WKWKWKW'",dulumanissopanterusgemasbegituadikmaterialmakamyadulukamumasukjajaranmytopsissytapisekarangnajisjijikbajajtidak adamanis manisnyatidak adagemas gemasnyaanjingasuhanteruskerjaannyasudahguelepehjugalahdarijajaranadik adikguemonmaafwkwk
11630,USER USER USER USER Katanya anti Asing.. dolar minggat harusnya sukuran dong.. malah mumet\xf0\x9f\x98\x80\nCermah doa toa dan ayat solusi segala macam persoalan.. sekalipun produktivitas minim tapi tuntutan setinggi langit',katanyaantiasingdolarminggatharusnyasyukurandongmalahmumetxf0x9fx98x80ceramahdoatoadanayatsolusisegalamacampersoalansekalipunproduktivitasminimtapituntutansetinggilangit
11631,Mereka itu keji dan biadab. Ganyang pki dan paham komunis di NKRI URL,merekaitukejidanbiadabganyangpartai komunis indonesiadanpahamkomunisdinegara kesatuan republik indonesiauniform resource locator
11632,USER Pantas saja Para Kecebong benci sama pak Kivlan dan pak Prabowo...,pantassajaparakecebongbencisamapakkivlandanpakprabowo
11633,USER USER Iya baru rezim sekarang ya \xf0\x9f\x98\x82',iyabarurezimsekarangyaxf0x9fx98x82
11634,Dasar kafir laknatullah',dasarkafirlaknatullah
11635,Rt bokep auto no titit. Siap. \nJadi temennya lulove',bokepautonotititsiapjaditemannyalulove
11636,"yang bejat lu, gabisa ngurus keluarga, gausah nyalahin orang. \n\ntolol dipiara.'",yangbejatkamutidak bisamenguruskeluargatidak usahmenyalahkanorangdantololdipelihara
11637,RT USER: USER USER Prabowo mesti tanggung jawab bangun lagi itu sekolah,prabowomestitanggungjawabbangunlagiitusekolah
11638,Din Syamsuddin berharap konsep wasatiyah Islam bisa menjadi ciri dan identitas umat Islam di tingkat nasional masing-masing negara maupun di tingkat global.; #muslimpro #KTTUlama2018 #KTTIslamWasatiyyah #indonesiabisa #indonesiabertoleransi ;,dinsyamsuddinberharapkonsepmoderatislambisamenjadiciridanidentitasumatislamditingkatnasionalmasingmasingnegaramaupunditingkatglobalmuslim prokonferensi tingkat tinggi ulama 2018konferensi tingkat tinggi islam wasatiyyahindonesia bisaindonesiabeoleransi
